"Label","URL"," Label Weight","Esemble Weight","ML Weight"
"train /predict","https://machinelearningmastery.com/compare-models-and-select-the-best-using-the-caret-r-package/","0","0","0"
"train /predict","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2754835/","0","0","0"
"train /predict","https://heartbeat.fritz.ai/ensemble-learning-techniques-demystified-e57ee5714996","0","71","32"
"train /predict","https://www.toptal.com/machine-learning/ensemble-methods-machine-learning","0","34","26"
"train /predict","https://www.codementor.io/bruce3557/beautiful-machine-learning-pipeline-with-scikit-learn-uiqapbxuj","0","8","36"
"train /predict","https://github.com/tlverse/sl3_lecture/blob/master/sl3_timeseries.Rmd","0","6","6"
"train /predict","https://www.kaggle.com/kevenfc/introduction-to-ensembling-stacking-in-python/data","0","6","4"
"train /predict","https://lizbaumann.com/admin/class_DS8_MachineLearning.php","0","2","3"
"train /predict","https://www.mql5.com/en/articles/4227","0","126","1"
"binary class problems ada boost","https://www.academia.edu/20506377/SUMO-Supermodeling_by_combining_imperfect_models","0","1","4"
"random variables","https://towardsdatascience.com/ensemble-methods-bagging-boosting-and-stacking-c9214a10a205","2","120","21"
"random variables","https://en.wikipedia.org/wiki/Random_forest","2","12","27"
"random variables","https://www.statworx.com/blog/ensemble-methods-in-machine-learning-bagging-subagging/","2","20","16"
"random variables","https://arxiv.org/pdf/1502.02599","0","0","2"
"random variables","https://www.researchgate.net/publication/296342438_Ensemble_machine_learning_Methods_and_applications","0","0","0"
"3. borda","https://www.researchgate.net/publication/221653263_Empirical_comparisons_of_various_voting_methods_in_bagging","0","0","0"
"3. borda","https://www.researchgate.net/publication/283210923_A_Borda_count_for_collective_sentiment_analysis","0","0","0"
"3. borda","https://knowledgecommons.lakeheadu.ca/bitstream/handle/2453/815/GanL2016m-1a.pdf?sequence=3&isAllowed=y","0","0","3"
"3. borda","https://www.academia.edu/2885621/Cooperative_Sign_Language_Tutoring_A_Multiagent_Approach","0","1","2"
"3. borda","https://www.academia.edu/9510649/Using_Ensemble-Based_Reasoning_to_Help_Experts_in_Melanoma_Diagnosis","0","9","0"
"3. borda","https://era.library.ualberta.ca/items/3f5390f8-4b7b-4fa1-963d-ce094a18fc7e/download/5027a7c0-1efc-4237-ba5b-d5307e523df0","0","0","0"
"3. borda","https://scholar.afit.edu/cgi/viewcontent.cgi?article=3492&context=etd","0","0","0"
"multiple learning machines","http://ieeexplore.ieee.org/document/7022703/","9","5","1"
"multiple learning machines","https://www.semanticscholar.org/paper/e2390a7ff3def4d4eb38f471f1b9ec2db7e7f62e?p2df","6","45","1"
