"Label","URL"," Label Weight","Esemble Weight","ML Weight"
"ensemble","https://en.wikipedia.org/wiki/Ensemble_learning","110","110","42"
"ensemble","https://en.wikipedia.org/wiki/Ensemble_learning#Ensemble_theory","110","110","42"
"ensemble","https://en.wikipedia.org/wiki/Ensemble_learning#Ensemble_size","110","110","42"
"ensemble","https://en.wikipedia.org/wiki/Ensemble_learning#Common_types_of_ensembles","110","110","42"
"ensemble","https://en.wikipedia.org/wiki/Ensemble_learning#Ensemble_learning_applications","110","110","42"
"ensemble","https://towardsdatascience.com/simple-guide-for-ensemble-learning-methods-d87cc68705a2","96","96","17"
"ensemble","https://blog.statsbot.co/ensemble-learning-d1dcd548e936","91","91","26"
"ensemble","https://towardsdatascience.com/ensemble-methods-in-machine-learning-what-are-they-and-why-use-them-68ec3f9fef5f","47","47","22"
"multiple machines","https://blog.dataversioncontrol.com/ml-model-ensembling-with-fast-iterations-91e8cad6a9b5","2","53","29"
"multiple machines","https://github.com/josephmisiti/awesome-machine-learning","1","5","267"
"multiple machines","https://www.codementor.io/blog/scalable-ml-models-6rvtbf8dsd","1","1","63"
"multiple machines","https://stackoverflow.com/questions/56211249/distributed-python-on-multi-machine-cluster","1","4","2"
"resultant decision","https://www.mdpi.com/2078-2489/9/11/284/htm","14","2","18"
"resultant decision","https://www.scribd.com/document/270883014/Regularized-Weighted-Ensemble-of-Deep","6","72","2"
"resultant decision","https://www.slideshare.net/ShalinHaiJew/using-decision-trees-to-analyze-online-learning-data","2","2","29"
"overall accuracy","https://link.springer.com/article/10.1007/s41066-018-0122-5","16","77","61"
"overall accuracy","https://medium.com/@saugata.paul1010/ensemble-learning-bagging-boosting-stacking-and-cascading-classifiers-in-machine-learning-9c66cb271674","4","89","41"
"overall accuracy","http://amsantac.co/blog/en/2016/10/22/model-stacking-classification-r.html","4","4","2"
"overall accuracy","https://www.hindawi.com/journals/cin/2017/3405463/","1","113","9"
"overall accuracy","https://www.kdnuggets.com/2017/05/must-know-ensemble-learning.html","1","32","12"
"overall accuracy","https://www.ncbi.nlm.nih.gov/pubmed/31310757","1","9","2"
"individual committee member","https://docplayer.net/7684228-An-ensemble-method-for-large-scale-machine-learning-with-hadoop-mapreduce.html","1","206","102"
"individual committee member","https://www.mdpi.com/1099-4300/19/12/651/htm","1","41","8"
"individual committee member","https://link.springer.com/10.1007%2F978-0-387-30164-8_252","1","21","12"
"class labels","https://medium.com/@saugata.paul1010/ensemble-learning-bagging-boosting-stacking-and-cascading-classifiers-in-machine-learning-9c66cb271674","14","89","41"
"class labels","https://link.springer.com/chapter/10.1007/978-3-642-13672-6_44","9","31","14"
"class labels","http://scikit-learn.org/stable/modules/ensemble.html","6","281","8"
"class labels","https://en.wikipedia.org/wiki/Ensemble_learning","1","110","42"
"class labels","http://jcsites.juniata.edu/faculty/rhodes/ml/ensemble.htm","1","14","1"
"class labels","https://web.njit.edu/~avp38/projects/multi_projects/ensemble.html","1","5","2"
"rankings","https://link.springer.com/chapter/10.1007/978-3-319-19222-2_3","10","25","12"
"rankings","https://towardsdatascience.com/ensemble-methods-bagging-boosting-and-stacking-c9214a10a205","2","120","21"
"rankings","http://www.scholarpedia.org/article/Ensemble_learning","1","91","9"
"rankings","https://en.wikipedia.org/wiki/Learning_to_rank","1","2","29"
"posterior probabilities","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5750819/","9","35","8"
"posterior probabilities","http://www.scholarpedia.org/article/Ensemble_learning","4","91","9"
"posterior probabilities","https://link.springer.com/10.1007%2F978-0-387-30164-8_252","1","21","12"
"ensemble learning","https://towardsdatascience.com/ensemble-methods-bagging-boosting-and-stacking-c9214a10a205","29","120","21"
"ensemble learning","https://blog.statsbot.co/ensemble-learning-d1dcd548e936","21","91","26"
"ensemble learning","https://en.wikipedia.org/wiki/Ensemble_learning","20","110","42"
"ensemble learning","https://en.wikipedia.org/wiki/Ensemble_learning#Ensemble_theory","20","110","42"
"ensemble learning","https://en.wikipedia.org/wiki/Ensemble_learning#Ensemble_size","20","110","42"
"ensemble learning","https://en.wikipedia.org/wiki/Ensemble_learning#Implementations_in_statistics_packages","20","110","42"
"ensemble learning","https://en.wikipedia.org/wiki/Ensemble_learning#Ensemble_learning_applications","20","110","42"
"ensemble learning","https://towardsdatascience.com/simple-guide-for-ensemble-learning-methods-d87cc68705a2","16","96","17"
"ensemble learning","https://www.kdnuggets.com/2019/01/ensemble-learning-5-main-approaches.html?sa=X&ved=2ahUKEwj39MO3q-LmAhXIyYsBHR1uB8EQ9QF6BAgLEAI","11","34","20"
"thea","https://pubs.acs.org/doi/abs/10.1021/ci034160g","1","44","107"
"thea","https://www.nature.com/subjects/machine-learning/ncomms","1","1","80"
"real world situations","https://ieeexplore.ieee.org/document/7340924/","2","17","5"
"machine learning model","https://www.datacamp.com/community/tutorials/ensemble-learning-python","10","144","27"
"machine learning model","https://medium.com/@saugata.paul1010/ensemble-learning-bagging-boosting-stacking-and-cascading-classifiers-in-machine-learning-9c66cb271674","4","89","41"
"machine learning model","https://heartbeat.fritz.ai/ensemble-learning-techniques-demystified-e57ee5714996","2","71","32"
"machine learning model","https://towardsdatascience.com/the-power-of-ensembles-in-deep-learning-a8900ff42be9","2","60","15"
"machine learning model","https://www.analyticsvidhya.com/blog/2018/06/comprehensive-guide-for-ensemble-models/","1","158","25"
"machine learning model","https://www.kdnuggets.com/2019/01/ensemble-learning-5-main-approaches.html","1","34","20"
"cross validation","https://medium.com/@saugata.paul1010/ensemble-learning-bagging-boosting-stacking-and-cascading-classifiers-in-machine-learning-9c66cb271674","6","89","41"
"cross validation","https://towardsdatascience.com/ensemble-learning-using-scikit-learn-85c4531ff86a","4","59","16"
"final","https://medium.com/@saugata.paul1010/ensemble-learning-bagging-boosting-stacking-and-cascading-classifiers-in-machine-learning-9c66cb271674","52","89","41"
"final","https://towardsdatascience.com/advanced-ensemble-classifiers-8d7372e74e40","16","52","5"
"final","https://www.analyticsvidhya.com/blog/2018/06/comprehensive-guide-for-ensemble-models/","14","158","25"
"final","https://towardsdatascience.com/overview-ensemble-learning-made-simple-d4ac0d13cb96","6","73","15"
"final","https://www.kdnuggets.com/2019/01/ensemble-learning-5-main-approaches.html","5","34","20"
"final","https://blog.statsbot.co/ensemble-learning-d1dcd548e936","2","91","26"
"final","https://becominghuman.ai/ensemble-learning-bagging-and-boosting-d20f38be9b1e","2","52","16"
"final","https://www.toptal.com/machine-learning/ensemble-methods-machine-learning","2","34","26"
"final","https://en.wikipedia.org/wiki/Ensemble_learning","1","110","42"
"data sample","https://www.datacamp.com/community/tutorials/adaboost-classifier-python","2","44","22"
"data sample","https://builtin.com/data-science/tour-top-10-algorithms-machine-learning-newbies","2","2","34"
"bulky data","https://www.scirp.org/html/68406_68406.htm","1","14","1"
"different bootstrap","https://towardsdatascience.com/ensemble-methods-bagging-boosting-and-stacking-c9214a10a205","4","120","21"
"different bootstrap","https://bradleyboehmke.github.io/HOML/bagging.html","3","10","15"
"different bootstrap","https://www.quora.com/Whats-the-difference-between-boosting-and-bagging","2","37","28"
"different bootstrap","https://www.statworx.com/ch/blog/ensemble-methods-in-machine-learning-bagging-subagging/","1","19","16"
"different bootstrap","https://mlcourse.ai/articles/topic5-part1-bagging/","1","9","3"
"different classifiers","https://medium.com/@saugata.paul1010/ensemble-learning-bagging-boosting-stacking-and-cascading-classifiers-in-machine-learning-9c66cb271674","16","89","41"
"different classifiers","http://www.scholarpedia.org/article/Ensemble_learning","4","91","9"
"different classifiers","https://becominghuman.ai/ensemble-learning-bagging-and-boosting-d20f38be9b1e","2","52","16"
"different classifiers","https://web.njit.edu/~avp38/projects/multi_projects/ensemble.html","1","5","2"
"bootstrap sample","https://towardsdatascience.com/ensemble-methods-bagging-boosting-and-stacking-c9214a10a205","6","120","21"
