"Label","URL"," Label Weight","Esemble Weight","ML Weight"
"train /predict","https://www.toptal.com/machine-learning/ensemble-methods-machine-learning","0","34","26"
"train /predict","https://heartbeat.fritz.ai/ensemble-learning-techniques-demystified-e57ee5714996","0","71","32"
"train /predict","https://www.codementor.io/bruce3557/beautiful-machine-learning-pipeline-with-scikit-learn-uiqapbxuj","0","8","36"
"train /predict","https://github.com/tlverse/sl3_lecture/blob/master/sl3_timeseries.Rmd","0","6","6"
"train /predict","https://machinelearningmastery.com/compare-models-and-select-the-best-using-the-caret-r-package/","0","0","0"
"train /predict","https://www.kaggle.com/kevenfc/introduction-to-ensembling-stacking-in-python/data","0","6","4"
"train /predict","https://lizbaumann.com/admin/class_DS8_MachineLearning.php","0","2","3"
"train /predict","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2754835/","0","0","0"
"train /predict","https://www.mql5.com/en/articles/4227","0","126","1"
"binary class problems ada boost","https://www.academia.edu/20506377/SUMO-Supermodeling_by_combining_imperfect_models","0","1","4"
"overall accuracy","https://link.springer.com/article/10.1007/s41066-018-0122-5","16","77","61"
"overall accuracy","https://medium.com/@saugata.paul1010/ensemble-learning-bagging-boosting-stacking-and-cascading-classifiers-in-machine-learning-9c66cb271674","4","89","41"
"overall accuracy","http://amsantac.co/blog/en/2016/10/22/model-stacking-classification-r.html","4","4","2"
"overall accuracy","https://www.hindawi.com/journals/cin/2017/3405463/","1","113","9"
"overall accuracy","https://www.kdnuggets.com/2017/05/must-know-ensemble-learning.html","1","32","12"
"overall accuracy","https://www.ncbi.nlm.nih.gov/pubmed/31310757","1","9","2"
"overall accuracy","https://link.springer.com/10.1007%2F978-0-387-30164-8_252","0","21","12"
"overall accuracy","https://arxiv.org/pdf/1106.0257","0","0","0"
"overall accuracy","https://www.sciencedirect.com/topics/computer-science/ensemble-method","0","1","0"
"3. borda","https://www.researchgate.net/publication/221653263_Empirical_comparisons_of_various_voting_methods_in_bagging","0","0","0"
"3. borda","https://www.researchgate.net/publication/283210923_A_Borda_count_for_collective_sentiment_analysis","0","0","0"
"3. borda","https://era.library.ualberta.ca/items/3f5390f8-4b7b-4fa1-963d-ce094a18fc7e/download/5027a7c0-1efc-4237-ba5b-d5307e523df0","0","0","0"
"3. borda","https://knowledgecommons.lakeheadu.ca/bitstream/handle/2453/815/GanL2016m-1a.pdf?sequence=3&isAllowed=y","0","0","3"
"3. borda","https://scholar.afit.edu/cgi/viewcontent.cgi?article=3492&context=etd","0","0","0"
"3. borda","https://www.academia.edu/2885621/Cooperative_Sign_Language_Tutoring_A_Multiagent_Approach","0","1","2"
"3. borda","https://www.academia.edu/9510649/Using_Ensemble-Based_Reasoning_to_Help_Experts_in_Melanoma_Diagnosis","0","9","0"
"different classifiers","https://medium.com/@saugata.paul1010/ensemble-learning-bagging-boosting-stacking-and-cascading-classifiers-in-machine-learning-9c66cb271674","16","89","41"
"different classifiers","http://www.scholarpedia.org/article/Ensemble_learning","4","91","9"
"different classifiers","https://becominghuman.ai/ensemble-learning-bagging-and-boosting-d20f38be9b1e","2","52","16"
"different classifiers","https://web.njit.edu/~avp38/projects/multi_projects/ensemble.html","1","5","2"
"different classifiers","https://arxiv.org/pdf/1106.0257","0","0","0"
"different classifiers","https://machinelearningmastery.com/ensemble-machine-learning-algorithms-python-scikit-learn/","0","0","0"
"different classifiers","https://subscription.packtpub.com/book/big_data_and_business_intelligence/9781788295758/4/ch04lvl1sec37/ensemble-of-ensembles-with-different-types-of-classifiers","0","0","0"
"multiple learning machines","http://ieeexplore.ieee.org/document/7022703/","9","5","1"
"multiple learning machines","https://www.semanticscholar.org/paper/e2390a7ff3def4d4eb38f471f1b9ec2db7e7f62e?p2df","6","45","1"
"multiple learning machines","https://link.springer.com/10.1007%2F978-0-387-30164-8_252","4","21","12"
"multiple learning machines","https://www.hindawi.com/journals/complexity/2019/5353296/","1","61","10"
"multiple learning machines","http://www.scholarpedia.org/article/User:Ke_CHEN/Proposed/Negatively_Correlated_Ensemble_Learning","1","57","4"
"multiple learning machines","https://onlinelibrary.wiley.com/doi/abs/10.1111/coin.12099","0","0","0"
"multiple learning machines","https://www.computer.org/csdl/journal/tk/2010/12/ttk2010121738/13rRUwInvJF","0","0","0"
"multiple learning machines","https://www.researchgate.net/publication/302896789_Ensemble_Learning","0","0","0"
"multiple learning machines","https://www.researchgate.net/publication/282050130_Mining_of_Training_Samples_for_Multiple_Learning_Machines_in_Computer-Aided_Detection_of_Lesions_in_CT_Images","0","0","0"
"combining","https://towardsdatascience.com/ensemble-methods-bagging-boosting-and-stacking-c9214a10a205","10","120","21"
"combining","https://blog.statsbot.co/ensemble-learning-d1dcd548e936?sa=X&ved=2ahUKEwiljsq9zMbmAhW6KqYKHbppAgoQ9QF6BAgLEAI","9","91","26"
"combining","https://blog.statsbot.co/ensemble-learning-d1dcd548e936","9","91","26"
"combining","https://www.datacamp.com/community/tutorials/ensemble-learning-python","6","144","27"
"combining","https://en.wikipedia.org/wiki/Ensemble_learning","6","110","42"
"combining","https://www.analyticsvidhya.com/blog/2018/06/comprehensive-guide-for-ensemble-models/","5","158","25"
"combining","https://towardsdatascience.com/two-is-better-than-one-ensembling-models-611ee4fa9bd8","2","22","5"
