"Label","URL"," Label Weight","Esemble Weight","ML Weight"
"ensemble","https://en.wikipedia.org/wiki/Ensemble_learning","110","110","42"
"ensemble","https://en.wikipedia.org/wiki/Ensemble_learning#Ensemble_theory","110","110","42"
"ensemble","https://en.wikipedia.org/wiki/Ensemble_learning#Ensemble_size","110","110","42"
"ensemble","https://en.wikipedia.org/wiki/Ensemble_learning#Common_types_of_ensembles","110","110","42"
"ensemble","https://en.wikipedia.org/wiki/Ensemble_learning#Ensemble_learning_applications","110","110","42"
"ensemble","https://towardsdatascience.com/simple-guide-for-ensemble-learning-methods-d87cc68705a2","96","96","17"
"ensemble","https://blog.statsbot.co/ensemble-learning-d1dcd548e936","91","91","26"
"ensemble","https://towardsdatascience.com/ensemble-methods-in-machine-learning-what-are-they-and-why-use-them-68ec3f9fef5f","47","47","22"
"learning refers","https://www.semanticscholar.org/paper/e2390a7ff3def4d4eb38f471f1b9ec2db7e7f62e?p2df","6","45","1"
"learning refers","http://queirozf.com/entries/a-quick-summary-of-ensemble-learning-strategies","3","19","2"
"learning refers","http://www.scholarpedia.org/article/Ensemble_learning","1","91","9"
"learning refers","http://www.sthda.com/english/articles/35-statistical-machine-learning-essentials/","1","2","22"
"multiple learning machines","http://ieeexplore.ieee.org/document/7022703/","9","5","1"
"multiple learning machines","https://www.semanticscholar.org/paper/e2390a7ff3def4d4eb38f471f1b9ec2db7e7f62e?p2df","6","45","1"
"multiple learning machines","https://link.springer.com/10.1007%2F978-0-387-30164-8_252","4","21","12"
"multiple learning machines","https://www.hindawi.com/journals/complexity/2019/5353296/","1","61","10"
"multiple learning machines","http://www.scholarpedia.org/article/User:Ke_CHEN/Proposed/Negatively_Correlated_Ensemble_Learning","1","57","4"
"decision makers","https://es.scribd.com/document/369215105/Machine-Learning-for-Decision-Makers","18","0","18"
"decision makers","https://mlwave.com/human-ensemble-learning/","3","44","11"
"decision makers","https://link.springer.com/10.1007%2F978-0-387-30164-8_252","1","21","12"
"individual predictions","https://medium.com/datadriveninvestor/ensemble-strategy-in-machine-learning-to-surpass-any-single-model-a75a92c3f1f0","2","27","16"
"individual predictions","http://scikit-learn.org/stable/modules/ensemble.html","1","281","8"
"individual predictions","https://www.kdnuggets.com/2019/01/ensemble-learning-5-main-approaches.html","1","34","20"
"individual predictions","https://link.springer.com/10.1007%2F978-0-387-30164-8_252","1","21","12"
"overall accuracy","https://link.springer.com/article/10.1007/s41066-018-0122-5","16","77","61"
"overall accuracy","https://medium.com/@saugata.paul1010/ensemble-learning-bagging-boosting-stacking-and-cascading-classifiers-in-machine-learning-9c66cb271674","4","89","41"
"overall accuracy","http://amsantac.co/blog/en/2016/10/22/model-stacking-classification-r.html","4","4","2"
"overall accuracy","https://www.hindawi.com/journals/cin/2017/3405463/","1","113","9"
"overall accuracy","https://www.kdnuggets.com/2017/05/must-know-ensemble-learning.html","1","32","12"
"overall accuracy","https://www.ncbi.nlm.nih.gov/pubmed/31310757","1","9","2"
"real world situations","https://ieeexplore.ieee.org/document/7340924/","2","17","5"
"machine learning model","https://www.datacamp.com/community/tutorials/ensemble-learning-python","10","144","27"
"machine learning model","https://medium.com/@saugata.paul1010/ensemble-learning-bagging-boosting-stacking-and-cascading-classifiers-in-machine-learning-9c66cb271674","4","89","41"
"machine learning model","https://heartbeat.fritz.ai/ensemble-learning-techniques-demystified-e57ee5714996","2","71","32"
"machine learning model","https://towardsdatascience.com/the-power-of-ensembles-in-deep-learning-a8900ff42be9","2","60","15"
"machine learning model","https://www.analyticsvidhya.com/blog/2018/06/comprehensive-guide-for-ensemble-models/","1","158","25"
"machine learning model","https://www.kdnuggets.com/2019/01/ensemble-learning-5-main-approaches.html","1","34","20"
"possible decision","https://www.slideshare.net/abhishekvijayvargia/decision-tree-softmax-regression-and-ensemble-methods-in-machine-learning","2","309","53"
"possible decision","https://www.hackerearth.com/practice/machine-learning/machine-learning-algorithms/ml-decision-tree/tutorial/","1","1","33"
"possible decision","https://ieeexplore.ieee.org/document/7340924/","1","17","5"
"overall model selection","http://docplayer.net/56041047-Package-cvst-august-29-2016.html","2","8","46"
"overall model selection","https://github.com/donigian/machine_learning_nano_degree/blob/master/Ames/capstone_ames_report.md","1","9","6"
"ensemble learning","https://towardsdatascience.com/ensemble-methods-bagging-boosting-and-stacking-c9214a10a205","29","120","21"
"ensemble learning","https://blog.statsbot.co/ensemble-learning-d1dcd548e936","21","91","26"
"ensemble learning","https://en.wikipedia.org/wiki/Ensemble_learning","20","110","42"
"ensemble learning","https://en.wikipedia.org/wiki/Ensemble_learning#Ensemble_theory","20","110","42"
"ensemble learning","https://en.wikipedia.org/wiki/Ensemble_learning#Ensemble_size","20","110","42"
"ensemble learning","https://en.wikipedia.org/wiki/Ensemble_learning#Implementations_in_statistics_packages","20","110","42"
"ensemble learning","https://en.wikipedia.org/wiki/Ensemble_learning#Ensemble_learning_applications","20","110","42"
"ensemble learning","https://towardsdatascience.com/simple-guide-for-ensemble-learning-methods-d87cc68705a2","16","96","17"
"ensemble learning","https://www.kdnuggets.com/2019/01/ensemble-learning-5-main-approaches.html?sa=X&ved=2ahUKEwj7v-fe2OLmAhVOJBoKHfvVD6IQ9QF6BAgLEAI","11","34","20"
"final goat","http://www.williamkent.com/ogale/ogale/Pleadings/ebook/download-Il-signore-delle-mosche-1980/","1","3","30"
"final goat","http://www.casebanklaw.com/scripts/books.php?q=book-%D0%BF%D1%81%D0%B8%D1%85%D0%BE%D0%BB%D0%BE%D0%B3%D0%BE-%D0%BF%D0%B5%D0%B4%D0%B0%D0%B3%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B5-%D1%81%D0%BE%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BE%D0%B1%D1%83%D1%87%D0%B5%D0%BD%D0%B8%D1%8F-%D0%B8%D0%BD%D1%82%D0%B5%D0%BB%D0%BB%D0%B5%D0%BA%D1%82%D1%83%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE-%D0%BE%D0%B4%D0%B0%D1%80%D0%B5%D0%BD%D0%BD%D1%8B%D1%85-%D0%B4%D0%B5%D1%82%D0%B5%D0%B9%D0%B4%D0%B8%D1%81%D1%81%D0%B5%D1%80%D1%82%D0%B0%D1%86%D0%B8%D1%8F-2004/","1","4","28"
"final goat","http://www.williamkent.com/ogale/ogale/Pleadings/ebook/download-multimedia-storage-and-retrieval-an-algorithmic-approach/","1","3","25"
"final goat","http://www.casebanklaw.com/scripts/books.php?q=creative-writing-the-easy-way/","1","3","24"
"final goat","http://getraenke-geissel.de/pdf.php?q=ebook-studies-in-the-philosophy-of-kierkegaard-1976/","1","1","1"
"separate subsets","https://stats.stackexchange.com/questions/399848/multi-view-survival-analysis","3","16","4"
"separate subsets","https://www.researchgate.net/publication/283980717_Multi-view_ensemble_learning_An_optimal_feature_set_partitioning_for_highdimensional_data_classification","2","158","44"
"separate subsets","https://dev.to/swyx/supervised-learning-ensemble-learning-lim","1","43","4"
"separate subsets","https://www.verypossible.com/blog/machine-learning-algorithms-decision-trees","1","2","27"
"separate subsets","https://bradzzz.gitbooks.io/ga-seattle-dsi/dsi/dsi_06_trees_methods/3.1-lesson/readme.html","1","19","1"
"separate subsets","https://raypeng.github.io/DGBDT/proposal.html","1","5","2"
"size use","http://www.authorstream.com/Presentation/KaganLean-1488291-ensemble-learning-wisdom-crowds-machines/","1","138","21"
"different bootstrap samples","https://towardsdatascience.com/ensemble-methods-bagging-boosting-and-stacking-c9214a10a205","4","120","21"
"different bootstrap samples","https://www.nature.com/articles/nmeth.4438?draft=collection","4","19","4"
"different bootstrap samples","https://bradleyboehmke.github.io/HOML/bagging.html","3","10","15"
