"Label","URL"," Label Weight","Esemble Weight","ML Weight"
"random variables","https://towardsdatascience.com/ensemble-methods-bagging-boosting-and-stacking-c9214a10a205","2","120","21"
"random variables","https://en.wikipedia.org/wiki/Random_forest","2","12","27"
"random variables","https://www.statworx.com/blog/ensemble-methods-in-machine-learning-bagging-subagging/","2","20","16"
"different classifiers","https://medium.com/@saugata.paul1010/ensemble-learning-bagging-boosting-stacking-and-cascading-classifiers-in-machine-learning-9c66cb271674","16","89","41"
"different classifiers","http://www.scholarpedia.org/article/Ensemble_learning","4","91","9"
"different classifiers","https://becominghuman.ai/ensemble-learning-bagging-and-boosting-d20f38be9b1e","2","52","16"
"different classifiers","https://web.njit.edu/~avp38/projects/multi_projects/ensemble.html","1","5","2"
"machine learning model","https://www.datacamp.com/community/tutorials/ensemble-learning-python","10","144","27"
"machine learning model","https://www.eurekalert.org/pub_releases/2019-11/rson-eim111519.php","6","5","17"
"machine learning model","https://heartbeat.fritz.ai/ensemble-learning-techniques-demystified-e57ee5714996","2","71","32"
"machine learning model","https://towardsdatascience.com/the-power-of-ensembles-in-deep-learning-a8900ff42be9","2","60","15"
"machine learning model","https://www.analyticsvidhya.com/blog/2018/06/comprehensive-guide-for-ensemble-models/","1","158","25"
"machine learning model","https://www.kdnuggets.com/2019/01/ensemble-learning-5-main-approaches.html","1","34","22"
"artificial training examples","https://link.springer.com/chapter/10.1007/978-3-642-28765-7_15","1","22","10"
"different source","https://www.semanticscholar.org/paper/A-Comparative-Study-of-Different-Source-Code-and-of-Kumar-Sureka/9998f8e8763bf18aa5eb8c9df897a41d0964cf0d","11","8","20"
"different source","https://arxiv.org/abs/1712.07944","6","2","7"
"different source","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6487914/","1","70","5"
"final goat","http://www.williamkent.com/ogale/ogale/Pleadings/ebook/download-Il-signore-delle-mosche-1980/","1","3","30"
"final goat","http://www.casebanklaw.com/scripts/books.php?q=book-%D0%BF%D1%81%D0%B8%D1%85%D0%BE%D0%BB%D0%BE%D0%B3%D0%BE-%D0%BF%D0%B5%D0%B4%D0%B0%D0%B3%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B5-%D1%81%D0%BE%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BE%D0%B1%D1%83%D1%87%D0%B5%D0%BD%D0%B8%D1%8F-%D0%B8%D0%BD%D1%82%D0%B5%D0%BB%D0%BB%D0%B5%D0%BA%D1%82%D1%83%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE-%D0%BE%D0%B4%D0%B0%D1%80%D0%B5%D0%BD%D0%BD%D1%8B%D1%85-%D0%B4%D0%B5%D1%82%D0%B5%D0%B9%D0%B4%D0%B8%D1%81%D1%81%D0%B5%D1%80%D1%82%D0%B0%D1%86%D0%B8%D1%8F-2004/","1","4","28"
"final goat","http://www.williamkent.com/ogale/ogale/Pleadings/ebook/download-multimedia-storage-and-retrieval-an-algorithmic-approach/","1","3","25"
"final goat","http://www.casebanklaw.com/scripts/books.php?q=creative-writing-the-easy-way/","1","3","24"
