"Label","URL"," Label Weight","Esemble Weight","ML Weight"
"ensemble learning procedures","https://www.semanticscholar.org/paper/Importance-Sampled-Learning-Ensembles-Friedman-Popescu/966ffe536f84efd15c1379dad9adffe90b20676f","6","9","2"
"multiple learning machines","http://ieeexplore.ieee.org/document/7022703/","9","5","1"
"multiple learning machines","https://www.semanticscholar.org/paper/e2390a7ff3def4d4eb38f471f1b9ec2db7e7f62e?p2df","6","45","1"
"multiple learning machines","https://link.springer.com/10.1007%2F978-0-387-30164-8_252","4","21","12"
"multiple learning machines","https://www.hindawi.com/journals/complexity/2019/5353296/","1","61","10"
"multiple learning machines","http://www.scholarpedia.org/article/User:Ke_CHEN/Proposed/Negatively_Correlated_Ensemble_Learning","1","57","4"
"decision makers","https://es.scribd.com/document/369215105/Machine-Learning-for-Decision-Makers","18","0","18"
"decision makers","https://mlwave.com/human-ensemble-learning/","3","44","11"
"decision makers","https://link.springer.com/10.1007%2F978-0-387-30164-8_252","1","21","12"
"overall accuracy","https://link.springer.com/article/10.1007/s41066-018-0122-5","16","77","61"
"overall accuracy","https://medium.com/@saugata.paul1010/ensemble-learning-bagging-boosting-stacking-and-cascading-classifiers-in-machine-learning-9c66cb271674","4","89","41"
"overall accuracy","http://amsantac.co/blog/en/2016/10/22/model-stacking-classification-r.html","4","4","2"
"overall accuracy","https://www.hindawi.com/journals/cin/2017/3405463/","1","113","9"
"overall accuracy","https://www.kdnuggets.com/2017/05/must-know-ensemble-learning.html","1","32","12"
"overall accuracy","https://www.ncbi.nlm.nih.gov/pubmed/31310757","1","9","2"
"real","https://www.datacamp.com/community/tutorials/ensemble-learning-python","8","144","27"
"real","https://towardsdatascience.com/simple-guide-for-ensemble-learning-methods-d87cc68705a2","4","96","17"
"real","https://www.analyticsvidhya.com/blog/2018/06/comprehensive-guide-for-ensemble-models/","3","158","25"
"real","https://www.oreilly.com/library/view/ensemble-machine-learning/9781788392716/","3","61","12"
"real","https://www.kdnuggets.com/2019/09/ensemble-learning.html","2","54","16"
"real","https://www.toptal.com/machine-learning/ensemble-methods-machine-learning","1","34","25"
"real","https://www.kdnuggets.com/2019/01/ensemble-learning-5-main-approaches.html","1","34","20"
"ranking","https://link.springer.com/article/10.1007/s10994-013-5360-9","79","32","72"
"ranking","https://mlwave.com/kaggle-ensembling-guide/","5","56","20"
"ranking","https://www.analyticsvidhya.com/blog/2017/02/40-questions-to-ask-a-data-scientist-on-ensemble-modeling-techniques-skilltest-solution/","3","171","27"
"ranking","http://scikit-learn.org/stable/modules/ensemble.html","1","281","8"
"main aim","https://ui.adsabs.harvard.edu/abs/2012amld.book..563R/abstract","4","70","9"
"main aim","https://www.edureka.co/blog/boosting-machine-learning/","2","20","108"
"main aim","https://link.springer.com/article/10.1007/s41066-018-0122-5","1","77","61"
"main aim","https://www.analyticsvidhya.com/blog/2017/09/common-machine-learning-algorithms/","1","2","55"
"main aim","https://www.hindawi.com/journals/scn/2019/4656480/","1","27","29"
"main aim","http://ieeexplore.ieee.org/document/6707016/","1","12","2"
"manage strengths","http://nc-cm.org/flash/flash/book/epub-Security-Valuation-and-Risk-Analysis%3A-Assessing-Value-in-Investment-Decision-Making/","1","2","2"
"possible decision","https://www.slideshare.net/abhishekvijayvargia/decision-tree-softmax-regression-and-ensemble-methods-in-machine-learning","2","309","53"
"possible decision","https://www.hackerearth.com/practice/machine-learning/machine-learning-algorithms/ml-decision-tree/tutorial/","1","1","33"
"possible decision","https://ieeexplore.ieee.org/document/7340924/","1","17","5"
"data sample","https://www.datacamp.com/community/tutorials/adaboost-classifier-python","2","44","22"
"data sample","https://builtin.com/data-science/tour-top-10-algorithms-machine-learning-newbies","2","2","34"
"validation test","https://stats.stackexchange.com/questions/20714/does-ensembling-boosting-cause-overfitting","1","9","4"
"train","https://towardsdatascience.com/ensemble-methods-bagging-boosting-and-stacking-c9214a10a205?sa=X&ved=2ahUKEwjGgL2_u-LmAhVRG6YKHeRGBpsQ9QF6BAgIEAI","16","120","21"
